time, I1, I2, S
0, 4, 4, 248 
1, 7, 9, 240 
2, 29, 23, 204 
3, 71, 78, 107 
4, 85, 122, 49 
5, 83, 125, 48 
6, 80, 128, 48 
7, 72, 140, 44 
8, 68, 141, 47 
9, 64, 148, 44 
10, 59, 153, 44 
11, 51, 160, 45 
12, 45, 158, 53 
13, 37, 175, 44 
14, 34, 175, 47 
15, 31, 176, 49 
16, 36, 171, 49 
17, 36, 171, 49 
18, 33, 177, 46 
19, 32, 174, 50 
20, 31, 181, 44 
21, 28, 191, 37 
22, 33, 200, 23 
23, 35, 193, 28 
24, 34, 207, 15 
25, 34, 196, 26 
26, 36, 202, 18 
27, 35, 195, 26 
28, 33, 208, 15 
29, 34, 196, 26 
30, 36, 202, 18 
31, 35, 195, 26 
32, 33, 208, 15 
33, 34, 196, 26 
34, 36, 202, 18 
35, 35, 195, 26 
36, 33, 208, 15 
37, 34, 196, 26 
38, 36, 202, 18 
39, 35, 195, 26 
40, 33, 208, 15 
41, 34, 196, 26 
42, 36, 202, 18 
43, 35, 195, 26 
44, 33, 208, 15 
45, 34, 196, 26 
46, 36, 202, 18 
47, 35, 195, 26 
48, 33, 208, 15 
49, 34, 196, 26 
50, 36, 202, 18 
51, 35, 195, 26 
52, 33, 208, 15 
53, 34, 196, 26 
54, 36, 202, 18 
55, 35, 195, 26 
56, 33, 208, 15 
57, 34, 196, 26 
58, 36, 202, 18 
59, 35, 195, 26 
60, 33, 208, 15 
61, 34, 196, 26 
62, 36, 202, 18 
63, 35, 195, 26 
64, 33, 208, 15 
65, 34, 196, 26 
66, 36, 202, 18 
67, 35, 195, 26 
68, 33, 208, 15 
69, 34, 196, 26 
70, 36, 202, 18 
71, 35, 195, 26 
72, 33, 208, 15 
73, 34, 196, 26 
74, 36, 202, 18 
75, 35, 195, 26 
76, 33, 208, 15 
77, 34, 196, 26 
78, 36, 202, 18 
79, 35, 195, 26 
80, 33, 208, 15 
81, 34, 196, 26 
82, 36, 202, 18 
83, 35, 195, 26 
84, 33, 208, 15 
85, 34, 196, 26 
86, 36, 202, 18 
87, 35, 195, 26 
88, 33, 208, 15 
89, 34, 196, 26 
90, 36, 202, 18 
91, 35, 195, 26 
92, 33, 208, 15 
93, 34, 196, 26 
94, 36, 202, 18 
95, 35, 195, 26 
96, 33, 208, 15 
97, 34, 196, 26 
98, 36, 202, 18 
99, 35, 195, 26 
100, 33, 208, 15 
Configuration time: 218648, Run time: 165856
